Material,Color,Opacity,A=410nm,B=435nm,C=460nm,D=485nm,E=510nm,F=535nm,G=560nm,H=585nm,I=645nm,J=705nm,K=900nm,L=940nm,R=610nm,S=680nm,T=730nm,U=760nm,V=810nm,W860nm
Cot,Blu,,2897.22,1481.88,2665.26,1686.34,1353.85,1092.44,598.12,1242.51,459.04,815.06,2373.24,3056.6,678.1,838.94,2174.32,2799.8,3781.98,3991.81
Cot,Blu,,2902.09,1485.59,2678.89,1688.12,1361.98,1095.22,599.77,1233.98,456.77,789.87,2319.15,2990.66,682.68,808.69,2044.75,2652.57,3624.06,3853.76
Cot,Blu,,2921.6,1500.42,2712.53,1709.41,1378.25,1104.95,604.74,1246.01,461.31,795.18,2362.53,3027.39,687.26,815.52,2064.49,2694.64,3699.51,3927.47
Cot,Blu,,2928.43,1503.2,2712.53,1705.86,1378.99,1107.03,606.81,1251.05,464.89,807.44,2372.71,3053.26,694.13,835.03,2121.12,2741.75,3748.64,3957.88
Cot,Blu,,2867.95,1472.61,2661.62,1672.15,1350.89,1088.27,596.05,1220.01,452.22,785.23,2297.19,2954.77,682.68,801.87,2046.47,2674.45,3647.75,3849.08
Cot,Blu,,2854.29,1450.37,2567.99,1619.81,1279.91,1031.29,562.93,1242.9,441.17,930.74,2539.81,3240.23,579.59,1040.86,2738.92,3426.56,4283.78,4329.92
Cot,Blu,,2881.61,1464.27,2587.08,1635.78,1290.26,1040.32,569.14,1256.48,446.7,943.34,2569.81,3283.64,586.46,1052.57,2786.97,3488.81,4353.09,4397.78
Cot,Blu,,2827.96,1435.54,2563.45,1605.62,1278.43,1024.34,561.69,1235.92,442.15,928.42,2535.53,3220.2,579.59,1046.72,2713.18,3398.79,4299.57,4304.18
Cot,Blu,,2829.91,1437.4,2552.54,1603.84,1273.25,1023.64,560.45,1233.98,440.85,930.41,2524.82,3210.18,580.73,1035.99,2735.49,3403,4254.83,4291.32
Cot,Blu,,2818.2,1429.98,2540.72,1596.75,1265.12,1018.08,556.73,1226.6,436.62,919.47,2499.64,3189.32,572.72,1032.09,2672.85,3323.08,4189.91,4246.86
Cot,Blu,,2820.15,1431.84,2553.45,1599.41,1272.51,1018.78,557.97,1230.87,437.6,920.8,2516.78,3204.34,571.57,1033.06,2687.44,3359.25,4244.31,4265.58
Cot,Blu,,2818.2,1429.06,2544.36,1599.41,1268.08,1019.47,557.97,1229.32,438.9,921.79,2507.68,3195.99,575.01,1035.01,2682.29,3335.7,4218.86,4259.73
Cot,Blu,,2825.03,1433.69,2563.45,1600.3,1277.69,1019.47,558.38,1232.81,440.85,922.46,2519.46,3195.99,575.01,1027.21,2692.59,3361.78,4232.9,4238.67
Cot,Blu,,2780.16,1407.74,2499.82,1575.46,1244.41,1006.96,550.1,1206.04,433.05,913.18,2450.37,3128.39,572.72,1021.35,2643.68,3253.25,4094.29,4168.47
Cot,Blu,,2859.17,1451.3,2575.27,1622.47,1283.6,1029.9,563.76,1246.78,442.15,930.41,2546.24,3248.58,577.3,1025.26,2745.79,3455.16,4316.24,4333.43
Cot,Blu,,2834.78,1438.32,2557.09,1607.39,1273.99,1023.64,560.04,1235.14,440.85,926.1,2526.42,3214.36,577.3,1036.96,2707.17,3369.35,4242.55,4286.64
Cot,Pur,,2896.24,1458.71,2600.72,1605.62,1302.09,1052.13,588.6,1226.99,552.93,1107.41,2302.01,2921.38,832.73,1662.26,3186.83,3358.41,3887.25,3880.67
Cot,Pur,,2957.7,1491.15,2643.44,1642.88,1322.05,1067.42,597.7,1254.93,556.83,1127.96,2350.75,3003.18,831.58,1691.53,3270.92,3448.43,3981.12,3969.58
Cot,Pur,,3042.56,1534.71,2710.71,1691.66,1371.59,1116.07,631.23,1299.17,605.88,1155.81,2355.03,3011.53,955.29,1796.88,3301.81,3453.48,3989.02,3984.79
Cot,Pur,,2929.41,1473.54,2615.26,1624.25,1309.48,1060.47,594.39,1242.9,555.2,1117.69,2312.18,2957.28,839.6,1667.14,3224.58,3396.27,3921.46,3913.43
Cot,Pur,,2914.77,1466.13,2603.45,1617.15,1304.31,1057,592.74,1238.24,556.83,1117.36,2306.29,2943.09,840.75,1676.89,3220.29,3386.17,3915.32,3900.56
Cot,Pur,,2942.09,1480.96,2622.54,1631.34,1312.44,1063.25,595.22,1249.11,557.48,1118.35,2326.65,2973.13,838.46,1662.26,3228.87,3410.57,3923.22,3926.3
Cot,Pur,,2973.3,1496.71,2654.35,1648.2,1328.71,1072.98,602.26,1263.08,564.62,1126.31,2348.61,3004.02,849.91,1677.87,3246.89,3429.08,3960.94,3948.52
Cot,Pur,,2877.71,1444.81,2570.72,1590.54,1284.34,1042.41,584.87,1216.13,548.05,1100.78,2260.77,2875.48,836.17,1670.07,3173.96,3331.49,3836.37,3829.19
Cot,Pur,,2473.85,1233.51,2210.75,1344.82,1099.49,908.98,507.88,1031.03,464.89,937.37,1882.63,2368.83,749.11,1414.48,2646.25,2790.54,3200.34,3207.96
Cot,Pur,,2917.7,1467.98,2595.26,1615.38,1296.17,1053.52,589.84,1232.04,550.98,1110.73,2296.12,2933.07,832.73,1661.29,3162.8,3330.65,3865.32,3891.2
Cot,Pur,,2876.73,1450.37,2573.45,1593.2,1284.34,1041.71,584.04,1218.84,542.86,1103.77,2274.69,2903.02,818.98,1668.11,3136.2,3297.84,3838.12,3844.4
Cot,Pur,,2921.6,1469.83,2596.17,1616.26,1297.65,1054.91,591.08,1234.36,552.93,1111.72,2289.15,2929.73,841.89,1683.72,3177.39,3339.06,3853.91,3884.18
Cot,Pur,,2907.95,1467.05,2585.27,1612.71,1289.52,1051.44,588.18,1230.87,544.16,1106.09,2283.26,2933.07,823.57,1637.87,3155.08,3325.6,3840.75,3878.33
Cot,Pur,,2883.56,1454.08,2583.45,1597.63,1289.52,1042.41,584.46,1221.56,542.86,1097.14,2284.87,2910.53,813.26,1633.97,3115.61,3286.06,3833.74,3838.55
